Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation,Percentage
E06000046,Isle of Wight,5,5 people in household,2025,3.13
E06000046,Isle of Wight,6,6 people in household,626,0.97
E06000046,Isle of Wight,7,7 people in household,184,0.28
E06000046,Isle of Wight,8,8 or more people in household,105,0.16
E06000047,County Durham,0,0 people in household,0,0.0
E06000047,County Durham,1,1 person in household,79529,33.88
E06000047,County Durham,2,2 people in household,84630,36.05
E06000047,County Durham,3,3 people in household,36310,15.47
E06000047,County Durham,4,4 people in household,24430,10.41
E06000047,County Durham,5,5 people in household,7040,3.0
E06000047,County Durham,6,6 people in household,2042,0.87
E06000047,County Durham,7,7 people in household,541,0.23
E06000047,County Durham,8,8 or more people in household,237,0.1
E06000049,Cheshire East,0,0 people in household,0,0.0
E06000049,Cheshire East,1,1 person in household,53136,30.39
E06000049,Cheshire East,2,2 people in household,64854,37.09
E06000049,Cheshire East,3,3 people in household,27168,15.54
E06000049,Cheshire East,4,4 people in household,21449,12.27
E06000049,Cheshire East,5,5 people in household,6165,3.53
E06000049,Cheshire East,6,6 people in household,1522,0.87
E06000049,Cheshire East,7,7 people in household,373,0.21
E06000049,Cheshire East,8,8 or more people in household,190,0.11
E06000050,Cheshire West and Chester,0,0 people in household,0,0.0
E06000050,Cheshire West and Chester,1,1 person in household,46887,30.22
E06000050,Cheshire West and Chester,2,2 people in household,56529,36.43
E06000050,Cheshire West and Chester,3,3 people in household,25045,16.14
E06000050,Cheshire West and Chester,4,4 people in household,19291,12.43
E06000050,Cheshire West and Chester,5,5 people in household,5455,3.52
E06000050,Cheshire West and Chester,6,6 people in household,1390,0.9
E06000050,Cheshire West and Chester,7,7 people in household,375,0.24
E06000050,Cheshire West and Chester,8,8 or more people in household,182,0.12
E06000051,Shropshire,0,0 people in household,0,0.0
E06000051,Shropshire,1,1 person in household,41428,29.68
E06000051,Shropshire,2,2 people in household,54661,39.16
E06000051,Shropshire,3,3 people in household,20205,14.48
E06000051,Shropshire,4,4 people in household,16078,11.52
E06000051,Shropshire,5,5 people in household,4835,3.46
E06000051,Shropshire,6,6 people in household,1396,1.0
E06000051,Shropshire,7,7 people in household,505,0.36
E06000051,Shropshire,8,8 or more people in household,471,0.34
E06000052,Cornwall,0,0 people in household,0,0.0
E06000052,Cornwall,1,1 person in household,76862,30.68
E06000052,Cornwall,2,2 people in household,96146,38.38
E06000052,Cornwall,3,3 people in household,36219,14.46
E06000052,Cornwall,4,4 people in household,28035,11.19
E06000052,Cornwall,5,5 people in household,9232,3.68
E06000052,Cornwall,6,6 people in household,2753,1.1
E06000052,Cornwall,7,7 people in household,848,0.34
E06000052,Cornwall,8,8 or more people in household,443,0.18
E06000053,Isles of Scilly,0,0 people in household,0,0.0
E06000053,Isles of Scilly,1,1 person in household,307,32.56
E06000053,Isles of Scilly,2,2 people in household,402,42.63
E06000053,Isles of Scilly,3,3 people in household,94,9.97
E06000053,Isles of Scilly,4,4 people in household,95,10.07
E06000053,Isles of Scilly,5,5 people in household,26,2.76
E06000053,Isles of Scilly,6,6 people in household,11,1.17
E06000053,Isles of Scilly,7,7 people in household,3,0.32
E06000053,Isles of Scilly,8,8 or more people in household,5,0.53
E06000054,Wiltshire,0,0 people in household,0,0.0
E06000054,Wiltshire,1,1 person in household,60574,28.16
E06000054,Wiltshire,2,2 people in household,81164,37.74
E06000054,Wiltshire,3,3 people in household,33692,15.66
E06000054,Wiltshire,4,4 people in household,28205,13.11
E06000054,Wiltshire,5,5 people in household,8490,3.95
E06000054,Wiltshire,6,6 people in household,2186,1.02
E06000054,Wiltshire,7,7 people in household,535,0.25
E06000054,Wiltshire,8,8 or more people in household,237,0.11
E06000055,Bedford,0,0 people in household,0,0.0
E06000055,Bedford,1,1 person in household,21448,28.62
E06000055,Bedford,2,2 people in household,24647,32.88
E06000055,Bedford,3,3 people in household,12411,16.56
E06000055,Bedford,4,4 people in household,10569,14.1
E06000055,Bedford,5,5 people in household,3831,5.11
E06000055,Bedford,6,6 people in household,1325,1.77
E06000055,Bedford,7,7 people in household,439,0.59
E06000055,Bedford,8,8 or more people in household,280,0.37
E06000056,Central Bedfordshire,0,0 people in household,0,0.0
